RFS,ID    ,Num,Word,Bit,Object Type,Name,Interlocking ID,Location,TDS AREA (A/B/C),JZA Input Bit Name,Simulation Bit Name,Field I/O Name,Remarks,Index No,,
ALJ,S230G,S230,8,D,Home Signal,Stop,,,,,,,,12560,
ALJ,S230G,S230,8,C,Home Signal,Low Speed,,,,,,,,12561,
ALJ,S230G,S230,8,B,Home Signal,Clear,,,,,,,,12562,
ALJ,S230G,S230,8,A,Home Signal,Time Release,,,,,,,,12563,
ALJ,S230G,S230,8,9,Home Signal,Fleeting,,,,,,,,12564,
ALJ,S230G,S230,8,8,Home Signal,Approach Clear,,,,,,,,12565,
ALJ,S230G,S230,8,7,Home Signal,Route Set,,,,,,,,12566,
ALJ,S232G,S232,8,6,Home Signal,Stop,,,,,,,,12567,
ALJ,S232G,S232,8,5,Home Signal,Low Speed,,,,,,,,12568,
ALJ,S232G,S232,8,4,Home Signal,Clear,,,,,,,,12569,
ALJ,S232G,S232,8,3,Home Signal,Time Release,,,,,,,,12570,
ALJ,S232G,S232,8,2,Home Signal,Fleeting,,,,,,,,12571,
ALJ,S232G,S232,8,1,Home Signal,Approach Clear,,,,,,,,12572
ALJ,S232G,S232,8,0,Home Signal,Route Set,,,,,,,,12573
ALJ,SG456G,SG456,6,C,Controlled Auto Signal,Stop,,,,,,,,12529
ALJ,SG456G,SG456,6,B,Controlled Auto Signal,Clear,,,,,,,,12530
ALJ,SG456G,SG456,6,A,Controlled Auto Signal,Time Release,,,,,,,,12531
ALJ,SG456G,SG456,6,9,Controlled Auto Signal,Fleeting,,,,,,,,12532
ALJ,SG456G,SG456,6,8,Controlled Auto Signal,Approach Clear,,,,,,,,12533
ALJ,SG456G,SG456,6,7,Controlled Auto Signal,Route Set,,,,,,,,12534
ALJ,SGG456G,SGG456,6,2,Controlled Auto Signal,Stop,,,,,,,,12539
ALJ,SGG456G,SGG456,6,1,Controlled Auto Signal,Clear,,,,,,,,12540
ALJ,SGG456G,SGG456,6,0,Controlled Auto Signal,Time Release,,,,,,,,12541
ALJ,SGG456G,SGG456,7,F,Controlled Auto Signal,Fleeting,,,,,,,,12542
ALJ,SGG456G,SGG456,7,E,Controlled Auto Signal,Approach Clear,,,,,,,,12543
ALJ,SGG456G,SGG456,7,D,Controlled Auto Signal,Route Set,,,,,,,,12544
ALJ,SWR507G,SWR507,9,E,Auto Signal,Clear,,,,,,,,12575
ALJ,T205AT,T205A,0,8,Track Circuit,Clear,,,,,,,,12437
ALJ,T205T,T205 ,0,6,Track Circuit,Clear,,,,,,,,12439
ALJ,T206AT,T206A,0,7,Track Circuit,Clear,,,,,,,,12438
ALJ,T206T,T206 ,0,1,Track Circuit,Clear,,,,,,,,12444
ALJ,T208T,T208,1,9,Track Circuit,Clear,,,,,,,,12452
ALJ,T209T,T209,1,8,Track Circuit,Clear,,,,,,,,12453
ALJ,T210T,T210,1,3,Track Circuit,Clear,,,,,,,,12458
ALJ,T211T,T211,7,5,Track Circuit,Clear,,,,,,,,12552
ALJ,T212T,T212,2,7,Track Circuit,Clear,,,,,,,,12470
ALJ,T214T,T214,3,F,Track Circuit,Clear,,,,,,,,12478
ALJ,T216T,T216,3,E,Track Circuit,Clear,,,,,,,,12479
ALJ,T217T,T217,3,6,Track Circuit,Clear,,,,,,,,12487
ALJ,T220T,T220,4,D,Track Circuit,Clear,,,,,,,,12496
ALJ,T221AT,T221A,6,D,Track Circuit,Clear,,,,,,,,12528
ALJ,T221T,T221,4,5,Track Circuit,Clear,,,,,,,,12504
ALJ,T222T,T222,4,0,Track Circuit,Clear,,,,,,,,12509
ALJ,T224T,T224,5,8,Track Circuit,Clear,,,,,,,,12517
ALJ,T225T,T225,5,0,Track Circuit,Clear,,,,,,,,12525
ALJ,T230T,T230,6,F,Track Circuit,Clear,,,,,,,,12526
ALJ,T232T,T232,6,E,Track Circuit,Clear,,,,,,,,12527
ALJ,T501T,TG501,6,5,Track Circuit,Clear,,,,,,,,12536
ALJ,TG457T,TG457,6,6,Track Circuit,Clear,,,,,,,,12535
ALJ,TG507T,TG507,6,4,Track Circuit,Clear,,,,,,,,12537
ALJ,TG515T,TG515,6,3,Track Circuit,Clear,,,,,,,,12538
ALJ,TGG457T,TGG457,7,C,Track Circuit,Clear,,,,,,,,12545
ALJ,TGG501T,TGG501,7,B,Track Circuit,Clear,,,,,,,,12546
ALJ,TGG507T,TGG507,7,A,Track Circuit,Clear,,,,,,,,12547
ALJ,TGG515T,TGG515,7,9,Track Circuit,Clear,,,,,,,,12548
ALJ,TWR505T,TWR505,7,8,Track Circuit,Clear,,,,,,,,12549
ALJ,TWR507T,TWR507,9,D,Track Circuit,Clear,,,,,,,,12576
ALJ,TWR514T,TWR514,7,7,Track Circuit,Clear,,,,,,,,12550
ALJ,TWR523T,TWR523,9,C,Track Circuit,Clear,,,,,,,,12577
ALJ,TWR576T,TWR576,7,6,Track Circuit,Clear,,,,,,,,12551
ALJ,,,0,2,Not Used,,,,,# Not Used,# Not Used,,,12443
ALJ,,,1,4,Not Used,,,,,# Not Used,# Not Used,,,12457
ALJ,,,2,8,Not Used,,,,,# Not Used,# Not Used,,,12469
ALJ,,,3,2,Not Used,,,,,# Not Used,# Not Used,,,12491
ALJ,,,4,1,Not Used,,,,,# Not Used,# Not Used,,,12508
ALJ,,,9,B,Not Used,,,,,# Not Used,# Not Used,,,12578
ALJ,,,9,A,Not Used,,,,,# Not Used,# Not Used,,,12579
ALJ,,,9,9,Not Used,,,,,# Not Used,# Not Used,,,12580
ALJ,,,9,8,Not Used,,,,,# Not Used,# Not Used,,,12581
ALJ,,,9,7,Not Used,,,,,# Not Used,# Not Used,,,12582
ALJ,,,9,6,Not Used,,,,,# Not Used,# Not Used,,,12583
ALJ,,,9,5,Not Used,,,,,# Not Used,# Not Used,,,12584
ALJ,,,9,4,Not Used,,,,,# Not Used,# Not Used,,,12585
ALJ,,,9,3,Not Used,,,,,# Not Used,# Not Used,,,12586
ALJ,,,9,2,Not Used,,,,,# Not Used,# Not Used,,,12587
ALJ,,,9,1,Not Used,,,,,# Not Used,# Not Used,,,12588
ALJ,,,9,0,Not Used,,,,,# Not Used,# Not Used,,,12589
ALP   ,E001AP,E001,2,4,Special Object - 600,,HDB,HEIDELBERG,C,#,#,,,29
ALP   ,E002AP,E002,2,3,Special Object - 100,,HDB,HEIDELBERG,C,#,#,,,30
ALP   ,E003AP,E003,2,2,Special Object - 300,,HDB,HEIDELBERG,C,#,#,,,31
ALP   ,E004AP,E004,2,1,Special Object - 301,,HDB,HEIDELBERG,C,#,#,,,32
ALP   ,E005AP,E005,2,0,Special Object - 601,,HDB,HEIDELBERG,C,#,#,,,33
ALP   ,E006AP,E006,2,6,Special Object - 502,,HDB,HEIDELBERG,C,#,#,,,27
ALP   ,E009AP,E009,3,15,Express/Stopper,Express Mode Dn,HDB,HEIDELBERG,C,#,#,,New indication for option 3 & 4,34
ALP   ,E009AP,E009,3,14,Express/Stopper,Express Mode Dn Reset,HDB,HEIDELBERG,C,#,#,,New indication for option 3 & 4,35
ALP   ,E010AP,E010,3,13,Express/Stopper,Express Mode Up,HDB,HEIDELBERG,C,#,#,,New indication for option 3 & 4,36
ALP   ,E010AP,E010,3,12,Express/Stopper,Express Mode Up Reset,HDB,HEIDELBERG,C,#,#,,New indication for option 3 & 4,37
ALP   ,E299AP,E299,2,5,Special Object - 200,,HDB,HEIDELBERG,C,#,#,,,28
ALP   ,FALPAP,FALP,1,15,Terminal,Bypass RCDA+,HDB,HEIDELBERG,C,# Terminal,# Terminal,,,2
ALP   ,FALPAP,FALP,1,14,Terminal,Sect. RDCA-,HDB,HEIDELBERG,C,# Terminal,# Terminal,,,3
