RFS,ID    ,Num,Word,Bit,Object Type,Name,Interlocking ID,Location,TDS AREA (A/B/C),JZA Input Bit Name,Simulation Bit Name,Field I/O Name,Remarks,Index No,,
BLY   ,P287BY,P287,17,10,Points - Right Leg Normal,Reverse,BLS,Burnley Stabling Siding,A,P287.RWCR,287.RWCR,,,647
BLY   ,P287BY,P287,17,9,Points - Right Leg Normal,Locked,BLS,Burnley Stabling Siding,A,P287.LRP,287.LRP,,,648
BLY   ,P289BY,P289,17,8,Points - Right Leg Normal,Normal,BLS,Burnley Stabling Siding,A,P289.NWCR,289.NWCR,,,649
BLY   ,P289BY,P289,17,7,Points - Right Leg Normal,Reverse,BLS,Burnley Stabling Siding,A,P289.RWCR,289.RWCR,,,650
BLY   ,P289BY,P289,17,6,Points - Right Leg Normal,Locked,BLS,Burnley Stabling Siding,A,P289.LRP,289.LRP,,,651
BLY   ,P291BY,P291,16,4,Derailer,Normal,BLS,Burnley Stabling Siding,A,P291.NWCR,291.NWCR,,,637
BLY   ,P291BY,P291,16,3,Derailer,Reverse,BLS,Burnley Stabling Siding,A,P291.RWCR,291.RWCR,,,638
BLY   ,P291BY,P291,16,2,Derailer,Locked,BLS,Burnley Stabling Siding,A,P291.LRP,291.LRP,,,639
BLY   ,S107H0,S107,1,9,Auto Signal,Clear,BLY,Burnley,A,SH107.RGP,H107.RGP,,,392
BLY   ,S107L0,S107,1,5,Auto Signal,Clear,BLY,Burnley,A,SL107.RGP,L107.RGP,,,396
BLY   ,S108H0,S108,1,7,Auto Signal,Clear,BLY,Burnley,A,SH108.RGP,H108.RGP,,,394
BLY   ,S108L0,S108,1,3,Auto Signal,Clear,BLY,Burnley,A,SL108.RGP,L108.RGP,,,398
BLY   ,S273BY,S273,2,12,Auto Signal,Clear,BLY,Burnley,A,S273.RGP,273.RGP,,,405
BLY   ,S277BY,S277,2,6,Auto Signal,Clear,BLY,Burnley,A,S277.RGP,277.RGP,,,411
BLY   ,S281BY,S281,16,8,Auto Signal,Clear,BLS,Burnley Stabling Siding,A,S281.RGP,281.RGP,,,633
BLY   ,S293BY,S293,2,0,Auto Signal,Clear,BLY,Burnley,A,S293.RGP,293.RGP,,,417
BLY   ,S297BY,S297,3,10,Auto Signal,Clear,BLY,Burnley,A,S297.RGP,297.RGP,,,423
BLY   ,S310BY,S310,3,5,Home Signal,Stop,BLY,Burnley,A,S310.NGP,310.NGP,,,428
BLY   ,S310BY,S310,3,4,Home Signal,Low Speed,BLY,Burnley,A,S310.CGR,310.CGR,,,429
BLY   ,S310BY,S310,3,3,Home Signal,Clear,BLY,Burnley,A,S310.RGP,310.RGP,,,430
BLY   ,S310BY,S310,3,2,Home Signal,Time Release,BLY,Burnley,A,S310.ASP,310.ASP,,,431
BLY   ,S310BY,S310,3,1,Home Signal,Fleeting,BLY,Burnley,A,S310.AOR,310.AOR,,,432
BLY   ,S310BY,S310,3,0,Home Signal,Approach Clear,BLY,Burnley,A,S310.CPBS,310.CPBS,,,433
BLY   ,S310BY,S310,4,15,Home Signal,Route Set,BLY,Burnley,A,S310.RIP,310.RIP,,,434
BLY   ,S312BY,S312,4,14,Controlled Auto Signal,Stop,BLY,Burnley,A,S312.NGP,312.NGP,,,435
BLY   ,S312BY,S312,4,13,Controlled Auto Signal,Clear,BLY,Burnley,A,S312.RGP,312.RGP,,,436
BLY   ,S312BY,S312,4,12,Controlled Auto Signal,Time Release,BLY,Burnley,A,S312.ASP,312.ASP,,,437
BLY   ,S312BY,S312,4,11,Controlled Auto Signal,Fleeting,BLY,Burnley,A,#,#,,,438
BLY   ,S312BY,S312,4,10,Controlled Auto Signal,Approach Clear,BLY,Burnley,A,S312.CPBS,312.CPBS,,,439
BLY   ,S312BY,S312,4,9,Controlled Auto Signal,Route Set,BLY,Burnley,A,S312.RIP,312.RIP,,,440
BLY   ,S316BY,S316,4,8,Home Signal,Stop,BLY,Burnley,A,S316.NGP,316.NGP,,,441
BLY   ,S316BY,S316,4,7,Home Signal,Low Speed,BLY,Burnley,A,S316.CGR,316.CGR,,,442
BLY   ,S316BY,S316,4,6,Home Signal,Clear,BLY,Burnley,A,S316.RGP,316.RGP,,,443
BLY   ,S316BY,S316,4,5,Home Signal,Time Release,BLY,Burnley,A,S316.ASP,316.ASP,,,444
BLY   ,S316BY,S316,4,4,Home Signal,Fleeting,BLY,Burnley,A,S316.AOR,316.AOR,,,445
BLY   ,S316BY,S316,4,3,Home Signal,Approach Clear,BLY,Burnley,A,S316.CPBS,316.CPBS,,,446
BLY   ,S316BY,S316,4,2,Home Signal,Route Set,BLY,Burnley,A,S316.RIP,316.RIP,,,447
BLY   ,S318BY,S318,4,1,Dwarf Signal,Stop,BLY,Burnley,A,S318.NGP,318.NGP,,,448
BLY   ,S318BY,S318,4,0,Dwarf Signal,Clear,BLY,Burnley,A,S318.RGP,318.RGP,,,449
BLY   ,S318BY,S318,5,15,Dwarf Signal,Time Release,BLY,Burnley,A,S318.ASP,318.ASP,,,450
BLY   ,S318BY,S318,5,14,Dwarf Signal,Route Set,BLY,Burnley,A,S318.RIP,318.RIP,,,451
BLY   ,S321BY,S321,5,13,Dwarf Signal,Stop,BLY,Burnley,A,S321.NGP,321.NGP,,,452
BLY   ,S321BY,S321,5,12,Dwarf Signal,Clear,BLY,Burnley,A,S321.RGP,321.RGP,,,453
BLY   ,S321BY,S321,5,11,Dwarf Signal,Time Release,BLY,Burnley,A,S321.ASP,321.ASP,,,454
BLY   ,S321BY,S321,5,10,Dwarf Signal,Route Set,BLY,Burnley,A,S321.RIP,321.RIP,,,455
BLY   ,S332BY,S332,5,9,Home Signal,Stop,BLY,Burnley,A,S332.NGP,332.NGP,,,456
BLY   ,S332BY,S332,5,8,Home Signal,Low Speed,BLY,Burnley,A,S332.CGR,332.CGR,,,457
BLY   ,S332BY,S332,5,7,Home Signal,Clear,BLY,Burnley,A,S332.RGP,332.RGP,,,458
BLY   ,S332BY,S332,5,6,Home Signal,Time Release,BLY,Burnley,A,S332.ASP,332.ASP,,,459
BLY   ,S332BY,S332,5,5,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,460
BLY   ,S332BY,S332,5,4,Home Signal,Approach Clear,BLY,Burnley,A,S332.CPBS,332.CPBS,,,461
BLY   ,S332BY,S332,5,3,Home Signal,Route Set,BLY,Burnley,A,S332.RIP,332.RIP,,,462
BLY   ,S334BY,S334,5,2,Controlled Auto Signal,Stop,BLY,Burnley,A,S334.NGP,334.NGP,,,463
BLY   ,S334BY,S334,5,1,Controlled Auto Signal,Clear,BLY,Burnley,A,S334.RGP,334.RGP,,,464
BLY   ,S334BY,S334,5,0,Controlled Auto Signal,Time Release,BLY,Burnley,A,S334.ASP,334.ASP,,,465
BLY   ,S334BY,S334,6,15,Controlled Auto Signal,Fleeting,BLY,Burnley,A,#,#,,,466
BLY   ,S334BY,S334,6,14,Controlled Auto Signal,Approach Clear,BLY,Burnley,A,S334.CPBS,334.CPBS,,,467
BLY   ,S334BY,S334,6,13,Controlled Auto Signal,Route Set,BLY,Burnley,A,S334.RIP,334.RIP,,,468
BLY   ,S336BY,S336,6,12,Home Signal,Stop,BLY,Burnley,A,S336.NGP,336.NGP,,,469
BLY   ,S336BY,S336,6,11,Home Signal,Low Speed,BLY,Burnley,A,S336.CGR,336.CGR,,,470
BLY   ,S336BY,S336,6,10,Home Signal,Clear,BLY,Burnley,A,S336.RGP,336.RGP,,,471
BLY   ,S336BY,S336,6,9,Home Signal,Time Release,BLY,Burnley,A,S336.ASP,336.ASP,,,472
BLY   ,S336BY,S336,6,8,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,473
BLY   ,S336BY,S336,6,7,Home Signal,Approach Clear,BLY,Burnley,A,S336.CPBS,336.CPBS,,,474
BLY   ,S336BY,S336,6,6,Home Signal,Route Set,BLY,Burnley,A,S336.RIP,336.RIP,,,475
BLY   ,S338BY,S338,6,5,Home Signal,Stop,BLY,Burnley,A,S338.NGP,338.NGP,,,476
BLY   ,S338BY,S338,6,4,Home Signal,Low Speed,BLY,Burnley,A,S338.CGR,338.CGR,,,477
BLY   ,S338BY,S338,6,3,Home Signal,Clear,BLY,Burnley,A,S338.RGP,338.RGP,,,478
BLY   ,S338BY,S338,6,2,Home Signal,Time Release,BLY,Burnley,A,S338.ASP,338.ASP,,,479
BLY   ,S338BY,S338,6,1,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,480
BLY   ,S338BY,S338,6,0,Home Signal,Approach Clear,BLY,Burnley,A,S338.CPBS,338.CPBS,,,481
BLY   ,S338BY,S338,7,15,Home Signal,Route Set,BLY,Burnley,A,S338.RIP,338.RIP,,,482
BLY   ,S340BY,S340,7,14,Dwarf Signal,Stop,BLY,Burnley,A,S340.NGP,340.NGP,,,483
BLY   ,S340BY,S340,7,13,Dwarf Signal,Clear,BLY,Burnley,A,S340.RGP,340.RGP,,,484
BLY   ,S340BY,S340,7,12,Dwarf Signal,Time Release,BLY,Burnley,A,S340.ASP,340.ASP,,,485
BLY   ,S340BY,S340,7,11,Dwarf Signal,Route Set,BLY,Burnley,A,S340.RIP,340.RIP,,,486
BLY   ,S343BY,S343,7,10,Home Signal,Stop,BLY,Burnley,A,S343.NGP,343.NGP,,,487
BLY   ,S343BY,S343,7,9,Home Signal,Low Speed,BLY,Burnley,A,S343.CGR,343.CGR,,,488
BLY   ,S343BY,S343,7,8,Home Signal,Clear,BLY,Burnley,A,S343.RGP,343.RGP,,,489
BLY   ,S343BY,S343,7,7,Home Signal,Time Release,BLY,Burnley,A,S343.ASP,343.ASP,,,490
BLY   ,S343BY,S343,7,6,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,491
BLY   ,S343BY,S343,7,5,Home Signal,Approach Clear,BLY,Burnley,A,S343.CPBS,343.CPBS,,,492
BLY   ,S343BY,S343,7,4,Home Signal,Route Set,BLY,Burnley,A,S343.RIP,343.RIP,,,493
BLY   ,S345BY,S345,7,3,Home Signal,Stop,BLY,Burnley,A,S345.NGP,345.NGP,,,494
BLY   ,S345BY,S345,7,2,Home Signal,Low Speed,BLY,Burnley,A,S345.CGR,345.CGR,,,495
BLY   ,S345BY,S345,7,1,Home Signal,Clear,BLY,Burnley,A,S345.RGP,345.RGP,,,496
BLY   ,S345BY,S345,7,0,Home Signal,Time Release,BLY,Burnley,A,S345.ASP,345.ASP,,,497
BLY   ,S345BY,S345,8,15,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,498
BLY   ,S345BY,S345,8,14,Home Signal,Approach Clear,BLY,Burnley,A,S345.CPBS,345.CPBS,,,499
BLY   ,S345BY,S345,8,13,Home Signal,Route Set,BLY,Burnley,A,S345.RIP,345.RIP,,,500
BLY   ,S372BY,S372,8,12,Dwarf Signal,Stop,BLY,Burnley,A,S372.NGP,372.NGP,,,501
BLY   ,S372BY,S372,8,11,Dwarf Signal,Clear,BLY,Burnley,A,S372.RGP,372.RGP,,,502
BLY   ,S372BY,S372,8,10,Dwarf Signal,Time Release,BLY,Burnley,A,S372.ASP,372.ASP,,,503
BLY   ,S372BY,S372,8,9,Dwarf Signal,Route Set,BLY,Burnley,A,S372.RIP,372.RIP,,,504
BLY   ,S375BY,S375,8,8,Home Signal,Stop,BLY,Burnley,A,S375.NGP,375.NGP,,,505
BLY   ,S375BY,S375,8,7,Home Signal,Low Speed,BLY,Burnley,A,S375.CGR,375.CGR,,,506
BLY   ,S375BY,S375,8,6,Home Signal,Clear,BLY,Burnley,A,S375.RGP,375.RGP,,,507
BLY   ,S375BY,S375,8,5,Home Signal,Time Release,BLY,Burnley,A,S375.ASP,375.ASP,,,508
BLY   ,S375BY,S375,8,4,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,509
BLY   ,S375BY,S375,8,3,Home Signal,Approach Clear,BLY,Burnley,A,S375.CPBS,375.CPBS,,,510
BLY   ,S375BY,S375,8,2,Home Signal,Route Set,BLY,Burnley,A,S375.RIP,375.RIP,,,511
BLY   ,S377BY,S377,8,1,Home Signal,Stop,BLY,Burnley,A,S377.NGP,377.NGP,,,512
BLY   ,S377BY,S377,8,0,Home Signal,Low Speed,BLY,Burnley,A,S377.CGR,377.CGR,,,513
BLY   ,S377BY,S377,9,15,Home Signal,Clear,BLY,Burnley,A,S377.RGP,377.RGP,,,514
BLY   ,S377BY,S377,9,14,Home Signal,Time Release,BLY,Burnley,A,S377.ASP,377.ASP,,,515
BLY   ,S377BY,S377,9,13,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,516
BLY   ,S377BY,S377,9,12,Home Signal,Approach Clear,BLY,Burnley,A,S377.CPBS,377.CPBS,,,517
BLY   ,S377BY,S377,9,11,Home Signal,Route Set,BLY,Burnley,A,S377.RIP,377.RIP,,,518
BLY   ,S379BY,S379,9,10,Controlled Auto Signal,Stop,BLY,Burnley,A,S379.NGP,379.NGP,,,519
BLY   ,S379BY,S379,9,9,Controlled Auto Signal,Clear,BLY,Burnley,A,S379.RGP,379.RGP,,,520
BLY   ,S379BY,S379,9,8,Controlled Auto Signal,Time Release,BLY,Burnley,A,S379.ASP,379.ASP,,,521
BLY   ,S379BY,S379,9,7,Controlled Auto Signal,Fleeting,BLY,Burnley,A,#,#,,,522
BLY   ,S379BY,S379,9,6,Controlled Auto Signal,Approach Clear,BLY,Burnley,A,S379.CPBS,379.CPBS,,,523
BLY   ,S379BY,S379,9,5,Controlled Auto Signal,Route Set,BLY,Burnley,A,S379.RIP,379.RIP,,,524
BLY   ,S380BY,S380,15,7,Home Signal,Stop,BLS,Burnley Stabling Siding,A,S380.NGP,380.NGP,,,618
BLY   ,S380BY,S380,15,6,Home Signal,Low Speed,BLS,Burnley Stabling Siding,A,S380.CGR,380.CGR,,,619
BLY   ,S380BY,S380,15,5,Home Signal,Clear,BLS,Burnley Stabling Siding,A,S380.RGP,380.RGP,,,620
BLY   ,S380BY,S380,15,4,Home Signal,Time Release,BLS,Burnley Stabling Siding,A,S380.ASP,380.ASP,,,621
BLY   ,S380BY,S380,15,3,Home Signal,Fleeting,BLS,Burnley Stabling Siding,A,S380.AOR,380.AOR,,,622
BLY   ,S380BY,S380,15,2,Home Signal,Approach Clear,BLS,Burnley Stabling Siding,A,S380.CPBS,380.CPBS,,,623
BLY   ,S380BY,S380,15,1,Home Signal,Route Set,BLS,Burnley Stabling Siding,A,S380.RIP,380.RIP,,,624
BLY   ,S381BY,S381,16,15,Home Signal,Stop,BLS,Burnley Stabling Siding,A,S381.NGP,381.NGP,,,626
BLY   ,S381BY,S381,16,14,Home Signal,Low Speed,BLS,Burnley Stabling Siding,A,S381.CGR,381.CGR,,,627
BLY   ,S381BY,S381,16,13,Home Signal,Clear,BLS,Burnley Stabling Siding,A,S381.RGP,381.RGP,,,628
BLY   ,S381BY,S381,16,12,Home Signal,Time Release,BLS,Burnley Stabling Siding,A,S381.ASP,381.ASP,,,629
BLY   ,S381BY,S381,16,11,Home Signal,Fleeting,BLS,Burnley Stabling Siding,A,S381.AOR,381.AOR,,,630
BLY   ,S381BY,S381,16,10,Home Signal,Approach Clear,BLS,Burnley Stabling Siding,A,S381.CPBS,381.CPBS,,,631
BLY   ,S381BY,S381,16,9,Home Signal,Route Set,BLS,Burnley Stabling Siding,A,S381.RIP,381.RIP,,,632
BLY   ,S385BY,S385,2,11,Dwarf Signal,Stop,BLS,Burnley Stabling Siding,A,S385.NGP,385.NGP,,,406
BLY   ,S385BY,S385,2,10,Dwarf Signal,Clear,BLS,Burnley Stabling Siding,A,S385.RGP,385.RGP,,,407
BLY   ,S385BY,S385,2,9,Dwarf Signal,Time Release,BLS,Burnley Stabling Siding,A,S385.ASP,385.ASP,,,408
BLY   ,S385BY,S385,2,8,Dwarf Signal,Route Set,BLS,Burnley Stabling Siding,A,S385.RIP,385.RIP,,,409
BLY   ,S387BY,S387,2,5,Dwarf Signal,Stop,BLS,Burnley Stabling Siding,A,S387.NGP,387.NGP,,,412
BLY   ,S387BY,S387,2,4,Dwarf Signal,Clear,BLS,Burnley Stabling Siding,A,S387.RGP,387.RGP,,,413
BLY   ,S387BY,S387,2,3,Dwarf Signal,Time Release,BLS,Burnley Stabling Siding,A,S387.ASP,387.ASP,,,414
BLY   ,S387BY,S387,2,2,Dwarf Signal,Route Set,BLS,Burnley Stabling Siding,A,S387.RIP,387.RIP,,,415
BLY   ,S389BY,S389,3,15,Dwarf Signal,Stop,BLS,Burnley Stabling Siding,A,S389.NGP,389.NGP,,,418
BLY   ,S389BY,S389,3,14,Dwarf Signal,Clear,BLS,Burnley Stabling Siding,A,S389.RGP,389.RGP,,,419
BLY   ,S389BY,S389,3,13,Dwarf Signal,Time Release,BLS,Burnley Stabling Siding,A,S389.ASP,389.ASP,,,420
BLY   ,S389BY,S389,3,12,Dwarf Signal,Route Set,BLS,Burnley Stabling Siding,A,S389.RIP,389.RIP,,,421
BLY   ,S395BY,S395,9,4,Home Signal,Stop,BLY,Burnley,A,S395.NGP,395.NGP,,,525
BLY   ,S395BY,S395,9,3,Home Signal,Low Speed,BLY,Burnley,A,S395.CGR,395.CGR,,,526
BLY   ,S395BY,S395,9,2,Home Signal,Clear,BLY,Burnley,A,S395.RGP,395.RGP,,,527
BLY   ,S395BY,S395,9,1,Home Signal,Time Release,BLY,Burnley,A,S395.ASP,395.ASP,,,528
BLY   ,S395BY,S395,9,0,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,529
BLY   ,S395BY,S395,10,15,Home Signal,Approach Clear,BLY,Burnley,A,S395.CPBS,395.CPBS,,,530
BLY   ,S395BY,S395,10,14,Home Signal,Route Set,BLY,Burnley,A,S395.RIP,395.RIP,,,531
BLY   ,S397BY,S397,10,13,Home Signal,Stop,BLY,Burnley,A,S397.NGP,397.NGP,,,532
BLY   ,S397BY,S397,10,12,Home Signal,Low Speed,BLY,Burnley,A,S397.CGR,397.CGR,,,533
BLY   ,S397BY,S397,10,11,Home Signal,Clear,BLY,Burnley,A,S397.RGP,397.RGP,,,534
BLY   ,S397BY,S397,10,10,Home Signal,Time Release,BLY,Burnley,A,S397.ASP,397.ASP,,,535
BLY   ,S397BY,S397,10,9,Home Signal,Fleeting,BLY,Burnley,A,#,#,,,536
BLY   ,S397BY,S397,10,8,Home Signal,Approach Clear,BLY,Burnley,A,S397.CPBS,397.CPBS,,,537
BLY   ,S397BY,S397,10,7,Home Signal,Route Set,BLY,Burnley,A,S397.RIP,397.RIP,,,538
BLY   ,T016BY,T016,12,4,Track Circuit,Clear,BLY,Burnley,A,T016.TPK,016.TPK,,,573
BLY   ,T107H0,T107,1,8,Track Circuit,Clear,BLY,Burnley,A,TH107.TPK,H107.TPK,,,393
BLY   ,T107L0,T107,1,4,Track Circuit,Clear,BLY,Burnley,A,TL107.TPK,L107.TPK,,,397
BLY   ,T108H0,T108,1,6,Track Circuit,Clear,BLY,Burnley,A,TH108.TPK,H108.TPK,,,395
BLY   ,T108L0,T108,1,2,Track Circuit,Clear,BLY,Burnley,A,TL108.TPK,L108.TPK,,,399
BLY   ,T111L0,T111,1,1,Track Circuit,Clear,BLY,Burnley,A,T111.TPK,111.TPK,,,400
BLY   ,T144BY,T144,12,11,Track Circuit,Clear,BLY,Burnley,A,T144.TPK,144.TPK,,,566
BLY   ,T146BY,T146,18,12,Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T146.TPK,146.TPK,,,661
BLY   ,T153BY,T153,15,0,Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T153.TPK,153.TPK,,,625
BLY   ,T156BY,T156,12,9,Approach Track Circuit,Clear,BLY,Burnley,A,T156.TPK,156.TPK,,,568
BLY   ,T156BY,T156,12,8,Approach Track Circuit,Approaching,BLY,Burnley,A,T156.ARP,156.ARP,,,569
BLY   ,T174BY,T174,18,10,Approach Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T174.TPK,174.TPK,,,663
BLY   ,T174BY,T174,18,9,Approach Track Circuit,Approaching,BLS,Burnley Stabling Siding,A,T174.ARP,174.ARP,,,664
BLY   ,T215BY,T215,12,7,Track Circuit,Clear,BLY,Burnley,A,T215.TPK,215.TPK,,,570
BLY   ,T217BY,T217,12,6,Track Circuit,Clear,BLY,Burnley,A,T217.TPK,217.TPK,,,571
BLY   ,T219BY,T219,12,5,Track Circuit,Clear,BLY,Burnley,A,T219.TPK,219.TPK,,,572
BLY   ,T231BY,T231,12,3,Track Circuit,Clear,BLY,Burnley,A,T231.TPK,231.TPK,,,574
BLY   ,T235BY,T235,12,2,Track Circuit,Clear,BLY,Burnley,A,T235.TPK,235.TPK,,,575
BLY   ,T236BY,T236,12,1,Approach Track Circuit,Clear,BLY,Burnley,A,T236.TPK,236.TPK,,,576
BLY   ,T236BY,T236,12,0,Approach Track Circuit,Approaching,BLY,Burnley,A,T236.ARP,236.ARP,,,577
BLY   ,T243BY,T243,13,15,Track Circuit,Clear,BLY,Burnley,A,T243.TPK,243.TPK,,,578
BLY   ,T269BY,T269,13,14,Track Circuit,Clear,BLY,Burnley,A,T269.TPK,269.TPK,,,579
BLY   ,T271BY,T271,13,13,Track Circuit,Clear,BLY,Burnley,A,T271.TPK,271.TPK,,,580
BLY   ,T273BY,T273,13,12,Track Circuit,Clear,BLY,Burnley,A,T273.TPK,273.TPK,,,581
BLY   ,T275BY,T275,13,11,Track Circuit,Clear,BLY,Burnley,A,T275.TPK,275.TPK,,,582
BLY   ,T277BY,T277,13,10,Track Circuit,Clear,BLY,Burnley,A,T277.TPK,277.TPK,,,583
BLY   ,T287BY,T287,2,1,Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T287.TPK,287.TPK,,,416
BLY   ,T291BY,T291,13,9,Track Circuit,Clear,BLY,Burnley,A,T291.TPK,291.TPK,,,584
BLY   ,T293BY,T293,13,8,Track Circuit,Clear,BLY,Burnley,A,T293.TPK,293.TPK,,,585
BLY   ,T295BY,T295,13,7,Track Circuit,Clear,BLY,Burnley,A,T295.TPK,295.TPK,,,586
BLY   ,T297BY,T297,13,6,Track Circuit,Clear,BLY,Burnley,A,T297.TPK,297.TPK,,,587
BLY   ,T299BY,T299,13,5,Track Circuit,Clear,BLY,Burnley,A,T299.TPK,299.TPK,,,588
BLY   ,T310BY,T310,13,4,Track Circuit,Clear,BLY,Burnley,A,T310.TPK,310.TPK,,,589
BLY   ,T312BY,T312,13,3,Track Circuit,Clear,BLY,Burnley,A,T312.TPK,312.TPK,,,590
BLY   ,T314BY,T314,13,2,Track Circuit,Clear,BLY,Burnley,A,T314.TPK,314.TPK,,,591
BLY   ,T316BY,T316,13,1,Track Circuit,Clear,BLY,Burnley,A,T316.TPK,316.TPK,,,592
BLY   ,T321BY,T321,13,0,Approach Track Circuit,Clear,BLY,Burnley,A,T321.TPK,321.TPK,,,593
BLY   ,T321BY,T321,14,15,Approach Track Circuit,Approaching,BLY,Burnley,A,T321.ARP,321.ARP,,,594
BLY   ,T334BY,T334,14,14,Track Circuit,Clear,BLY,Burnley,A,T334.TPK,334.TPK,,,595
BLY   ,T336BY,T336,14,13,Track Circuit,Clear,BLY,Burnley,A,T336.TPK,336.TPK,,,596
BLY   ,T338BY,T338,14,12,Track Circuit,Clear,BLY,Burnley,A,T338.TPK,338.TPK,,,597
BLY   ,T340BY,T340,14,11,Track Circuit,Clear,BLY,Burnley,A,T340.TPK,340.TPK,,,598
BLY   ,T343BY,T343,14,10,Track Circuit,Clear,BLY,Burnley,A,T343.TPK,343.TPK,,,599
BLY   ,T345BY,T345,14,9,Track Circuit,Clear,BLY,Burnley,A,T345.TPK,345.TPK,,,600
BLY   ,T370BY,T370,15,9,Track Circuit,Clear,BLY,Burnley,A,T370.TPK,370.TPK,,,616
BLY   ,T372BY,T372,14,8,Track Circuit,Clear,BLY,Burnley,A,T372.TPK,372.TPK,,,601
BLY   ,T373BY,T373,18,11,Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T373.TPK,373.TPK,,,662
BLY   ,T375BY,T375,14,7,Track Circuit,Clear,BLY,Burnley,A,T375.TPK,375.TPK,,,602
BLY   ,T377BY,T377,14,6,Track Circuit,Clear,BLY,Burnley,A,T377.TPK,377.TPK,,,603
BLY   ,T379BY,T379,14,5,Track Circuit,Clear,BLY,Burnley,A,T379.TPK,379.TPK,,,604
BLY   ,T380BY,T380,1,0,Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T380.TPK,380.TPK,,,401
BLY   ,T381BY,T381,2,13,Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T381.TPK,381.TPK,,,404
BLY   ,T382BY,T382,3,11,Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T382.TPK,382.TPK,,,422
BLY   ,T385BY,T385,17,2,Approach Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T385.TPK,385.TPK,,,655
BLY   ,T385BY,T385,17,1,Approach Track Circuit,Approaching,BLS,Burnley Stabling Siding,A,T385.ARP,385.ARP,,,656
BLY   ,T387BY,T387,17,0,Approach Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T387.TPK,387.TPK,,,657
BLY   ,T387BY,T387,18,15,Approach Track Circuit,Approaching,BLS,Burnley Stabling Siding,A,T387.ARP,387.ARP,,,658
BLY   ,T389BY,T389,18,14,Approach Track Circuit,Clear,BLS,Burnley Stabling Siding,A,T389.TPK,389.TPK,,,659
BLY   ,T389BY,T389,18,13,Approach Track Circuit,Approaching,BLS,Burnley Stabling Siding,A,T389.ARP,389.ARP,,,660
BLY   ,T390BY,T390,15,8,Track Circuit,Clear,BLY,Burnley,A,T390.TPK,390.TPK,,,617
BLY   ,T395BY,T395,14,4,Track Circuit,Clear,BLY,Burnley,A,T395.TPK,395.TPK,,,605
BLY   ,T397BY,T397,14,3,Track Circuit,Clear,BLY,Burnley,A,T397.TPK,397.TPK,,,606
BLY   ,,,1,11,Not Used,,,,A,# Not Used,# Not Used,,,390
BLY   ,,,1,10,Not Used,,,,A,# Not Used,# Not Used,,,391
BLY   ,,,2,7,Not Used,,,,A,# Not Used,# Not Used,,,410
BLY   ,,,12,14,Not Used,,,,A,# Not Used,# Not Used,,,563
BLY   ,,,12,13,Not Used,,,,A,# Not Used,# Not Used,,,564
BLY   ,,,12,12,Not Used,,,,A,# Not Used,# Not Used,,,565
BLY   ,,,12,10,Not Used,,,,A,# Not Used,# Not Used,,,567
BLY   ,,,16,7,Not Used,,,,A,# Not Used,# Not Used,,,634
BLY   ,,,18,8,Not Used,,,,A,# Not Used,# Not Used,,,665
BLY   ,,,18,0,Not Used,,,,A,# Not Used,# Not Used,,,673
CBE,678W,678,4,2,Point,Normal,,,,,,,,12642
CBE,678W,678,4,1,Point,Reverse,,,,,,,,12643
CBE,678W,678,4,0,Point,Locked,,,,,,,,12644
CBE,679W,679,5,E,Point,Normal,,,,,,,,12646
CBE,679W,679,5,D,Point,Reverse,,,,,,,,12647
CBE,679W,679,5,C,Point,Locked,,,,,,,,12648
CBE,CBEREL,CBE,10,3,Local Control,Local Control Given,,,,,,,,12833
CBE,EMerinda Park,EMerinda Park - DEoP,8,0,Faulty Pedestrian Crossing,,,,,,,,,12708
CBE,LAbbRLX,LAbbR,4,6,Level Crossing,Up,,,,,,,,12638
CBE,LAbbRLX,LAbbR,4,5,Level Crossing,Down,,,,,,,,12639
CBE,LAbbRLX,LAbbR,4,4,Level Crossing,Power On,,,,,,,,12640
CBE,LAbbRLX,LAbbR,4,3,Level Crossing,Down Too Long,,,,,,,,12641
CBE,LCamRLX,LCamR,A,C,Level Crossing,Up,,,,,,,,12728
CBE,LCamRLX,LCamR,A,B,Level Crossing,Down,,,,,,,,12729
CBE,LCamRLX,LCamR,A,A,Level Crossing,Power On,,,,,,,,12730
CBE,LCamRLX,LCamR,A,9,Level Crossing,Down Too Long,,,,,,,,12731
CBE,LEvaRLX,LEvaR,8,7,Level Crossing,Up,,,,,,,,12701
