#track name	x	y	length	speed
FSB/T964	61	1	156.40	7.00
BBH/T440	5	1	336.50	11.00
FSB/T960	60	1	100.90	7.00
FSE/P687D	38	1	124.20	14.00
BBH/T442	4	1	129.00	11.00
BBH/T447	22	1	162.00	11.00
FSB/P850U	58	1	90.50	9.00
BBH/T446	3	1	129.00	11.00
BBH/T340	17	1	320.10	11.00
BBH/T341	39	1	178.60	11.00
SYR/TD191	23	1	303.80	8.00
FSE/P687U	39	1	74.10	18.00
FSB/T959	56	1	118.40	7.00
SYR/T200	30	1	209.00	8.00
BBH/T450	2	1	178.00	11.00
BBH/T357	37	1	183.00	11.00
SYR/T307	42	1	359.00	8.00
SYR/T306	20	1	104.30	8.00
CFD/P667D	2	1	64.00	23.00
FSA/P630D	91	1	87.10	14.00
FSE/P688D	37	1	34.50	18.00
BBH/T355	38	1	324.80	11.00
BBH/T356	15	1	328.50	11.00
FSB/T764	55	1	121.50	7.00
BBH/T350	16	1	177.80	11.00
SSS/T709	85	1	165.00	9.00
FSE/T992	85	1	97.30	7.00
SYR/TF140	24	1	198.40	8.00
SYR/TD183	24	1	268.10	8.00
FSE/T995	47	1	188.20	7.00
SSS/T707	83	1	27.00	9.00
FSE/T771X	44	1	87.90	10.00
SSS/T705	78	1	88.00	9.00
MUL/T654	52	1	92.00	10.00
SYR/T318	19	1	262.10	8.00
MUL/T655	48	1	274.40	10.00
MUL/T653	49	1	129.40	10.00
MUL/T650	53	1	71.30	10.00
FSE/T172	43	1	66.60	11.00
SHM/P808D	4	1	65.00	15.00
SYR/TD069	37	1	63.10	8.00
SYR/TB170	36	1	341.20	8.00
CFD/P667U	3	1	80.00	23.00
FSA/P631U	92	1	28.70	14.00
FSE/T981	80	1	139.40	7.00
FSB/T692	54	1	94.70	7.00
FSE/T983	50	1	157.70	7.00
SYR/TD073	35	1	203.10	8.00
FSE/P685U	51	1	45.90	10.00
SYR/TF178	20	1	193.50	8.00
FSB/T690	56	1	104.00	7.00
FSE/P694	44	1	137.40	18.00
FSE/T985	49	1	174.70	7.00
SYR/TF170	21	1	230.90	8.00
SYR/TD071	36	1	105.10	8.00
FSE/T987	45	1	104.20	7.00
SYR/TD171	25	1	333.40	8.00
FSE/T986	78	1	125.70	7.00
FSA/P632D	94	1	80.40	14.00
BBH/T477	16	1	558.30	11.00
BBH/P812D	20	1	137.20	14.00
SYR/T323	40	1	542.70	8.00
SYR/TD307	11	1	392.40	8.00
SYR/TF164	22	1	303.50	8.00
FSA/P632U	95	1	62.50	14.00
FSB/T585	97	1	107.00	7.00
SHM/P808U	5	1	60.00	15.00
SYR/TD161	26	1	324.70	8.00
FSA/T730	90	1	94.40	9.00
FSE/T863IB	54	1	97.80	7.00
SSS/P467D	82	1	27.50	14.00
BBH/T404	10	1	428.10	11.00
BBH/T401	30	1	191.00	11.00
FSE/P262D	50	1	52.80	10.00
FSE/T869	73	1	41.00	7.00
SYR/TB091	67	1	285.30	8.00
SYR/TD295	12	1	338.00	8.00
FSE/T864	87	1	108.50	7.00
CFD/T769	1	1	200.00	13.00
BBH/T407	29	1	138.60	11.00
BBH/T406	9	1	246.70	11.00
FSE/T866	86	1	191.30	7.00
FSE/T865	53	1	175.40	7.00
FSE/T659	45	1	250.10	11.00
SYR/T234	27	1	325.00	8.00
SYR/TB099	66	1	247.50	8.00
SYR/T233	51	1	411.00	8.00
FSE/T766	43	1	75.00	7.00
FSE/T657	47	1	152.30	11.00
SYR/TD091	33	1	285.80	8.00
SYR/TD099	32	1	248.80	8.00
SYR/TF114	27	1	444.00	8.00
FSE/T663	34	1	36.30	7.00
SYR/TD285	13	1	308.00	8.00
