#track name	x	y	length	speed
FSB/T964	60	1	156.40	7.00
BBH/T440	4	1	336.50	11.00
FSB/T960	59	1	100.90	7.00
FSE/P687D	32	1	124.20	14.00
BBH/T442	3	1	129.00	11.00
BBH/T447	22	1	162.00	11.00
FSB/P850U	57	1	90.50	9.00
BBH/T446	2	1	129.00	11.00
BBH/T340	16	1	320.10	11.00
BBH/T341	39	1	178.60	11.00
FSE/P687U	33	1	74.10	18.00
SYR/TD191	23	1	303.80	8.00
FSB/T959	55	1	118.40	7.00
SYR/T200	29	1	209.00	8.00
BBH/T450	1	1	178.00	11.00
BBH/T357	37	1	183.00	11.00
SYR/T307	42	1	359.00	8.00
SYR/T306	19	1	104.30	8.00
CFD/P667D	2	1	64.00	23.00
FSA/P630D	85	1	87.10	14.00
FSE/P688D	31	1	34.50	18.00
BBH/T355	38	1	324.80	11.00
BBH/T356	14	1	328.50	11.00
BBH/T350	15	1	177.80	11.00
SSS/T709	79	1	165.00	9.00
SYR/TF140	18	1	198.40	8.00
SYR/TD183	24	1	268.10	8.00
FSE/T995	46	1	188.20	7.00
SSS/T707	77	1	27.00	9.00
SSS/T705	72	1	88.00	9.00
MUL/T654	46	1	92.00	10.00
SYR/T318	18	1	262.10	8.00
MUL/T655	42	1	274.40	10.00
MUL/T653	43	1	129.40	10.00
MUL/T650	47	1	71.30	10.00
FSE/T172	37	1	66.60	11.00
SHM/P808D	4	1	65.00	15.00
SYR/TD069	37	1	63.10	8.00
SYR/TB170	35	1	341.20	8.00
CFD/P667U	3	1	80.00	23.00
FSA/P631U	86	1	28.70	14.00
SYR/TD073	35	1	203.10	8.00
FSE/T983	49	1	157.70	7.00
FSE/P685U	50	1	45.90	10.00
SYR/TF178	14	1	193.50	8.00
FSE/P694	38	1	137.40	18.00
FSE/T985	48	1	174.70	7.00
SYR/TF170	15	1	230.90	8.00
SYR/TD071	36	1	105.10	8.00
FSE/T987	44	1	104.20	7.00
FSE/T986	78	1	125.70	7.00
SYR/TD171	25	1	333.40	8.00
FSA/P632D	88	1	80.40	14.00
BBH/T477	16	1	558.30	11.00
BBH/P812D	20	1	137.20	14.00
SYR/T323	40	1	542.70	8.00
SYR/TD307	11	1	392.40	8.00
FSA/P632U	89	1	62.50	14.00
SYR/TF164	16	1	303.50	8.00
FSB/T585	91	1	107.00	7.00
SHM/P808U	5	1	60.00	15.00
SYR/TD161	26	1	324.70	8.00
FSA/T730	84	1	94.40	9.00
FSE/T863IB	53	1	97.80	7.00
SSS/P467D	76	1	27.50	14.00
BBH/T404	9	1	428.10	11.00
BBH/T401	30	1	191.00	11.00
FSE/T869	73	1	41.00	7.00
SYR/TB091	67	1	285.30	8.00
SYR/TD295	12	1	338.00	8.00
CFD/T769	1	1	200.00	13.00
BBH/T407	29	1	138.60	11.00
BBH/T406	8	1	246.70	11.00
FSE/T865	52	1	175.40	7.00
FSE/T659	39	1	250.10	11.00
SYR/T234	26	1	325.00	8.00
SYR/TB099	66	1	247.50	8.00
SYR/T233	51	1	411.00	8.00
FSE/T657	41	1	152.30	11.00
SYR/TD091	33	1	285.80	8.00
SYR/TD099	32	1	248.80	8.00
SYR/TF114	21	1	444.00	8.00
SYR/TD285	13	1	308.00	8.00
FSE/T663	28	1	36.30	7.00
FSE/T662	40	1	109.80	11.00
BBH/T417	28	1	219.00	11.00
BBH/T419	27	1	136.00	11.00
SYR/TB088	41	1	277.80	8.00
SYR/T246	25	1	366.00	8.00
FSE/T668	39	1	157.50	7.00
SYR/T247	50	1	195.10	8.00
SYR/TB081	68	1	284.30	8.00
FSE/T666	42	1	123.80	7.00
SYR/TD081	34	1	298.80	8.00
SYR/T251	49	1	291.20	8.00
SSN/T680	71	1	97.00	9.00
SYR/TF100	22	1	352.80	8.00
BBH/T429	24	1	334.60	11.00
FSE/T888	75	1	47.60	7.00
FSE/T670	38	1	102.00	7.00
BBH/T427	25	1	28.50	11.00
BBH/T426	6	1	238.10	11.00
FSE/T672	35	1	98.80	11.00
BBH/T423	26	1	163.80	11.00
