TPS Name,TCMS Name,In Railway Data
S143IA,FSA/S143,T
S144IA,FSA/S144,T
S145IA,FSA/S145,T
S148IA,FSA/S148,T
S150IA,FSA/S150,T
S153IA,FSA/S153,T
S154IA,FSA/S154,T
S223IA,FSA/S223,F
S227IA,FSA/S227,T
S236IA,FSA/S236,T
S287IA,FSA/S287,F
S311IA,FSA/S311,T
S314IA,FSA/S314,T
S328IA,FSA/S328,T
S329IA,FSA/S329,T
S330IA,FSA/S330,T
S332IA,FSA/S332,T
S334IA,FSA/S334,T
S339IA,FSA/S339,T
S344IA,FSA/S344,T
S449IA,FSA/S449,T
S451IA,FSA/S451,T
S460IA,FSA/S460,T
S472IA,FSA/S472,T
S479IA,FSA/S479,T
S498IA,FSA/S498,F
S570IA,FSA/S570,T
S572IA,FSA/S572,T
S573IA,FSA/S573,T
S574IA,FSA/S574,T
S583IB,FSA/S583,T
S584IB,FSA/S584,T
S631IB,FSA/S631,T
S632IB,FSA/S632,T
S684IB,FSA/S684,T
S730IB,FSA/S730,T
S731IB,FSA/S731,T
S732IB,FSA/S732,T
S734IB,FSA/S734,T
S740IB,FSA/S740,T
S742IB,FSA/S742,T
S744IB,FSA/S744,T
S753IB,FSA/S753,T
S754IB,FSA/S754,T
S761IB,FSA/S761,T
S827IB,FSA/S827,F
S931IB,FSA/S931,T
S932IB,FSA/S932,T
S941IB,FSA/S941,T
S946IB,FSA/S946,T
S863IB,FSB/863,F
C936IA,FSB/C936,F
S585IB,FSB/S585,T
S586IB,FSB/S586,T
S690IB,FSB/S690,F
S694IB,FSB/S694,F
S696IB,FSB/S696,F
S733IB,FSB/S733,T
S735IB,FSB/S735,T
S736IB,FSB/S736,T
S737IB,FSB/S737,T
S741IB,FSB/S741,T
S743IB,FSB/S743,T
S746IB,FSB/S746,T
S755IB,FSB/S755,T
S756IB,FSB/S756,T
S763IB,FSB/S763,T
S765IB,FSB/S765,T
S767IB,FSB/S767,T
S850IB,FSB/S850,F
S852IB,FSB/S852,F
S860IB,FSB/S860,F
S934IB,FSB/S934,T
S936IB,FSB/S936,T
S943IB,FSB/S943,T
S945IB,FSB/S945,T
S948IB,FSB/S948,T
S950IB,FSB/S950,T
S955IA,FSB/S955IA,F
S957IB,FSB/S957,T
S959IB,FSB/S959,T
S960IB,FSB/S960,T
C916IA,FSD/C916,F
C946IA,FSD/C946,F
S146IA,FSD/S146,T
S155IA,FSD/S155,T
S156IA,FSD/S156,T
S157IA,FSD/S157,T
S159IA,FSD/S159,T
S160IA,FSD/S160,T
S181IA,FSD/S181,T
S183IA,FSD/S183,T
S262IA,FSD/S262,F
S270IA,FSD/S270,F
S282IA,FSD/S282,F
S290IA,FSD/S290,F
S315IA,FSD/S315,T
S316IA,FSD/S316,T
S317IA,FSD/S317,T
S318IA,FSD/S318,T
S331IA,FSD/S331,T
S333IA,FSD/S333,T
S335IA,FSD/S335,T
S336IA,FSD/S336,T
S341IA,FSD/S341,T
S343IA,FSD/S343,T
S345IA,FSD/S345,T
S346IA,FSD/S346,T
S347IA,FSD/S347,T
S463IA,FSD/S463,F
S575IA,FSD/S575,T
S576IA,FSD/S576,T
S587IA,FSD/S587,T
C260IB,FSE/C260,F
C263IB,FSE/C263,F
C273IA,FSE/C273,F
C652IA,FSE/C652,F
C675IA,FSE/C675,F
S259IA,FSE/S259,F
S260IA,FSE/S260,T
S263IA,FSE/S263,T
S272IA,FSE/S272,F
S277IA,FSE/S277,F
S279IA,FSE/S279,F
S293IA,FSE/S293,F
S294IA,FSE/S294,F
S297IA,FSE/S297,F
S299IA,FSE/S299,F
S354IA,FSE/S354,T
S355IA,FSE/S355,T
S362IA,FSE/S362,T
S363IA,FSE/S363,T
S364IA,FSE/S364,T
S365IA,FSE/S365,T
S394IA,FSE/S394,T
S652IB,FSE/S652,T
S659IB,FSE/S659,F
S668IB,FSE/S668,F
S669IB,FSE/S669,F
S674IB,FSE/S674,F
S675IB,FSE/S675,T
S679IB,FSE/S679,F
S693IB,FSE/S693,F
S697IB,FSE/S697,F
S772IB,FSE/S772,T
S774IB,FSE/S774,T
S775IB,FSE/S775,T
S776IB,FSE/S776,T
S777IB,FSE/S777,T
S782IB,FSE/S782,T
S785IB,FSE/S785,T
S786IB,FSE/S786,T
S787IB,FSE/S787,T
S794IB,FSE/S794,T
S796IB,FSE/S796,T
S797IB,FSE/S797,T
S798IB,FSE/S798,T
S799IB,FSE/S799,T
S853IB,FSE/S853,F
S854IB,FSE/S854,F
S855IB,FSE/S855,F
S864IB,FSE/S864,F
S872IB,FSE/S872,F
S982IB,FSE/S982,T
S983IB,FSE/S983,T
S986IB,FSE/S986,T
S987IB,FSE/S987,T
S992IB,FSE/S992,T
S765FM,GHY/S765,F
S515C0,GOW/S515,F
S529C0,GOW/S529,F
S003EH,GRN/S002,F
S003GN,GRN/S003,T
S012GN,GRN/S012,T
S013GN,GRN/S013,T
S019GN,GRN/S019,T
S023GN,GRN/S023,T
S664GN,GRN/S664,F
S010GW,GWY/S10,F
S014GW,GWY/S14,F
S018GW,GWY/S18,F
S020GW,GWY/S20,F
S000HB,HBE/S000,F
S001HB,HBE/S001,F
S053HD,HDB/S053,F
S142HD,HDB/S142,T
S143HD,HDB/S143,T
S144HD,HDB/S144,T
S148HD,HDB/S148,T
S153HD,HDB/S153,T
S155HD,HDB/S155,T
S159HD,HDB/S159,T
S206F0,HKN/S206F0,F
S206D0,HKN/S206D0,F
S090IA,JLI/S090,F
S094IA,JLI/S094,F
S099IA,JLI/S099,F
S186IA,JLI/S186,T
S187IA,JLI/S187,T
S196IA,JLI/S196,T
S593KN,KEN/S593,F
S102KP,KPK/S102,T
S103KP,KPK/S103,T
S102LX,LAL/S102,T
S103LX,LAL/S103,T
S105LX,LAL/S105,T
S032LV,LAV/S32,F
S554GG,LAV/S554GG,F
S554G0,LAV/S554G0,F
S555G0,LAV/S555G0,F
S555GG,LAV/S555GG,F
S002LL,LIL/S002,F
S003LL,LIL/S003,F
S004LL,LIL/S004,F
S237F0,MAL/S237F0,F
S237D0,MAL/S237D0,F
S285F0,MAL/S285F0,F
S285D0,MAL/S285D0,F
S308F0,MAL/S308F0,F
S308D0,MAL/S308D0,F
C007MD,MCD/C007,F
S104MD,MCD/S104,F
S107MD,MCD/S107,F
S109MD,MCD/S109,F
S110MD,MCD/S110,F
S111MD,MCD/S111,F
S486F0,MCK/S486F0,F
S486FM,MCK/S486FM,F
S002MT,MOR/S002,F
S005MT,MOR/S005,F
S007MT,MOR/S007,F
S010MT,MOR/S010,F
S014MT,MOR/S014,F
S691MK,MPK/S691,F
S780LL,MPK/S780,F
S781LL,MPK/S781,F
S782LL,MPK/S782,F
S783LL,MPK/S783,F
S001F0,MRN/S001,T
S003FM,MRN/S003,T
S603MJ,MRN/S603,F
S609MJ,MRN/S609,F
S702MJ,MRN/S702,T
S703MJ,MRN/S703,T
S708MJ,MRN/S708,T
S709MJ,MRN/S709,T
S019IA,MUL/S019,F
S044IA,MUL/S044,F
S053IA,MUL/S053,F
S161IA,MUL/S161,T
S163IA,MUL/S163,T
S188IA,MUL/S188,T
S189IA,MUL/S189,T
S190IA,MUL/S190,T
S191IA,MUL/S191,T
S192IA,MUL/S192,T
S193IA,MUL/S193,T
S194IA,MUL/S194,T
S197IA,MUL/S197,T
S199IA,MUL/S199,T
S217IA,MUL/S217,F
S248IA,MUL/S248,F
S388IA,MUL/S388,T
S389IA,MUL/S389,T
S390IA,MUL/S390,T
S391IA,MUL/S391,T
S392IA,MUL/S392,T
S393IA,MUL/S393,T
S419IA,MUL/S419,F
S444IA,MUL/S444,F
S588IA,MUL/S588,T
S589IA,MUL/S589,T
S590IA,MUL/S590,T
S591IA,MUL/S591,T
S592IA,MUL/S592,T
S593IA,MUL/S593,T
S644IB,MUL/S644,F
S788IB,MUL/S788,T
S789IB,MUL/S789,T
S790IB,MUL/S790,T
S791IB,MUL/S791,T
S792IB,MUL/S792,T
S793IB,MUL/S793,T
C409NE,NME/C409,F
C466NE,NME/C466,F
C476NE,NME/C476,F
C487NE,NME/C487,F
C530NE,NME/C530,F
C532NE,NME/C532,F
C536NE,NME/C536,F
C565NE,NME/C565,F
C575NE,NME/C575,F
C639NE,NME/C639,F
S639NE,NME/S639,F
C785NE,NME/C785,F
C800NE,NME/C800,F
S423NE,NME/S423,F
S461NE,NME/S461,F
S474NE,NME/S474,F
S506NE,NME/S506,T
S508NE,NME/S508,F
S520NE,NME/S520,T
S522NE,NME/S522,T
S526NE,NME/S526,T
S529NE,NME/S529,T
S550NE,NME/S550,F
S561NE,NME/S561,T
S562NE,NME/S562,T
S563NE,NME/S563,T
S564NE,NME/S564,T
S566NE,NME/S566,T
S567NE,NME/S567,T
S571NE,NME/S571,T
S572NE,NME/S572,T
S573NE,NME/S573,T
S576NE,NME/S576,T
S577NE,NME/S577,T
S584NE,NME/S584,T
S684NE,NME/S684,F
S697NE,NME/S697,F
S730NE,NME/S730,T
S781NE,NME/S781,T
S782NE,NME/S782,T
S783NE,NME/S783,T
S786NE,NME/S786,T
S787NE,NME/S787,T
S788NE,NME/S788,T
S796NE,NME/S796,T
S797NE,NME/S797,T
S798NE,NME/S798,T
S406IA,NMU/S406,F
S471IA,NMU/S471,F
S481IA,NMU/S481,F
S510IA,NMU/S510,T
S513IA,NMU/S513,T
S515IA,NMU/S515,T
S517IA,NMU/S517,T
S537IA,NMU/S537,T
S540IA,NMU/S540,T
S542IA,NMU/S542,T
S551IA,NMU/S551,T
S552IA,NMU/S552,T
S047NP,NPT/S047,F
S060NP,NPT/S060,F
S062NP,NPT/S062,F
S089NP,NPT/S089,F
S100NP,NPT/S100,F
S152NP,NPT/S152,F
S164NP,NPT/S164,F
S194NP,NPT/S194,F
S196NP,NPT/S196,F
S206NP,NPT/S206,F
S208NP,NPT/S208,F
S214NP,NPT/S214,F
S220NP,NPT/S220,F
S224NP,NPT/S224,F
S230NP,NPT/S230,F
S232NP,NPT/S232,F
S008OK,OAK/S008,F
S012OK,OAK/S012,F
S014OK,OAK/S014,F
S016OK,OAK/S016,F
S022OK,OAK/S022,F
S024OK,OAK/S024,F
S058OK,OAK/S058,F
S006PK,PKM/S006,F
S012PK,PKM/S012,F
S014PK,PKM/S014,F
S016PK,PKM/S016,F
S030PK,PKM/S030,F
S032PK,PKM/S032,F
S040PK,PKM/S040,F
S042PK,PKM/S042,F
S440T0,REG/S440,F
S421T0,RES/S421,F
S115RD,RIV/S115,F
S015RD,RWD/S015,F
S303RW,RWD/S303,F
S305RW,RWD/S305,F
S316RW,RWD/S316,F
S324RW,RWD/S324,F
S325RW,RWD/S325,F
S334RW,RWD/S334,F
S335RW,RWD/S335,F
S336RW,RWD/S336,F
S000SA,SAB/S000,F
S009SA,SAB/S009,F
S020SA,SAB/S020,F
S021SA,SAB/S021,F
S034SA,SAB/S034,F
S035SA,SAB/S035,F
S034SZ,SDM/S034,F
S606SZ,SDM/S606,F
S714SZ,SDM/S714,F
S004SF,SEA/S004,F
S018SF,SEA/S018,F
C908SR,SHM/C908,F
S906SR,SHM/S906,T
S916SR,SHM/S916,T
S917SR,SHM/S917,T
C778SS,SKN/C778,F
S655SS,SKN/S655,F
S658SS,SKN/S658,F
S661SS,SKN/S661,F
S668SS,SKN/S668,F
S755SS,SKN/S755,T
S756SS,SKN/S756,T
S757SS,SKN/S757,T
S758SS,SKN/S758,T
S759SS,SKN/S759,T
S760SS,SKN/S760,T
S765SS,SKN/S765,T
S766SS,SKN/S766,T
S767SS,SKN/S767,T
S768SS,SKN/S768,T
S769SS,SKN/S769,T
S771SS,SKN/S771,T
S774SS,SKN/S774,T
C412IA,SSN/C412,F
C428ST,SSN/C428,F
C431IA,SSN/C431,F
C450IA,SSN/C450,F
C487IB,SSN/C487,F
C522IA,SSN/C522,F
C549IA,SSN/C549,F
C606IA,SSN/C606,F
C607IA,SSN/C607,F
S083IA,SSN/S083,F
S121IA,SSN/S121,T
S122IA,SSN/S122,T
S124IA,SSN/S124,T
S126IA,SSN/S126,T
S280IA,SSN/S280,T
S300IA,SSN/S300,T
S301IA,SSN/S301,T
S302IA,SSN/S302,T
S304IA,SSN/S304,T
S445IA,SSN/S445,T
S487IA,SSN/S487,T
S505IA,SSN/S505,T
S507IA,SSN/S507,T
S509IA,SSN/S509,T
S518IA,SSN/S518,T
S520IA,SSN/S520,T
S524IA,SSN/S524,T
S530IA,SSN/S530,T
S535IA,SSN/S535,T
S536IA,SSN/S536,T
S543IA,SSN/S543,T
S545IA,SSN/S545,T
S547IA,SSN/S547,T
S548IA,SSN/S548,T
S555IA,SSN/S555,T
S562IA,SSN/S562,T
S563IA,SSN/S563,T
S564IA,SSN/S564,T
S606IB,SSN/S606,T
S703IB,SSN/S703,T
S704IB,SSN/S704,T
S716IB,SSN/S716,T
S718IB,SSN/S718,T
S720IB,SSN/S720,T
S815IB,SSN/S815,F
C129IA,SSS/C129,F
C470IB,SSS/C470,F
C619IB,SSS/C619IB,F
S021IA,SSS/S021,T
S082IA,SSS/S082,T
S114IA,SSS/S114,T
S115IA,SSS/S115,T
S116IA,SSS/S116,T
S123IA,SSS/S123,T
S125IA,SSS/S125,T
S127IA,SSS/S127,T
S128IA,SSS/S128,T
S206IA,SSS/S206,T
S207IA,SSS/S207,T
S228IA,SSS/S228,T
S281IA,SSS/S281,T
S288IA,SSS/S288,T
S303IA,SSS/S303,T
S305IA,SSS/S305,T
S306IA,SSS/S306,T
S426IA,SSS/S426,T
S467IA,SSS/S467,T
C468IB,SSS/C468,F
S468IA,SSS/S468,T
S469IA,SSS/S469,T
S470IA,SSS/S470,T
S494IA,SSS/S494,F
S526IA,SSS/S526,T
S566IA,SSS/S566,T
S567IA,SSS/S567,T
S569IA,SSS/S569,T
S607IB,SSS/S607,T
S686IB,SSS/S686,F
S706IB,SSS/S706,T
S707IB,SSS/S707,T
S709IB,SSS/S709,T
S721IB,SSS/S721,T
S722IB,SSS/S722,T
S724IB,SSS/S724,F
S725IB,SSS/S725,T
S726IB,SSS/S726,T
S817IB,SSS/S817,F
S824IB,SSS/S824,F
C448ST,SST/C448,F
C458ST,SST/C458ST,F
C928ST,SST/C928,F
S184ST,SST/S184,F
S202ST,SST/S202,F
S530ST,SST/S530,F
S540ST,SST/S540,F
S542ST,SST/S542,F
S548ST,SST/S548,F
S580ST,SST/S580,F
S586ST,SST/S586,F
S913ST,SST/S913,F
S919IA,SST/S919,F
S921IA,SST/S921,F
S527IA,STN/S527,T
S628SE,SUN/S628,F
S725SE,SUN/S725,T
S726SE,SUN/S726,T
S735SE,SUN/S735,T
S737SE,SUN/S737,T
S738SE,SUN/S738,T
S743SE,SUN/S743,T
S746SE,SUN/S746,T
S753SE,SUN/S753,T
S755SE,SUN/S755,T
S758SE,SUN/S758,T
S164D0,SYR/S164D0,F
S187B0,SYR/S187,T
S190B0,SYR/S190,T
S071B0,SYR/SB071,F
S081B0,SYR/SB081,F
S124B0,SYR/SB124,F
S131B0,SYR/SB131,F
S071D0,SYR/SD071,F
S081D0,SYR/SD081,F
S124D0,SYR/SD124,F
S131D0,SYR/SD131,F
S071F0,SYR/SF071,F
S081F0,SYR/SF081,F
S124F0,SYR/SF124,F
S131F0,SYR/SF131,F
S171D0,TOR/S171,F
S171F0,TOR/S171F0,F
S230F0,TOR/S230F0,F
S230D0,TOR/S230D0,F
S509UF,UFD/S509,T
S512UF,UFD/S512,T
S513UF,UFD/S513,T
S524C0,UFD/S524,T
S010UG,UFG/S010,F
S016UG,UFG/S016,F
S018UG,UFG/S018,F
S022UG,UFG/S022,F
S024UG,UFG/S024,F
S026UG,UFG/S026,F
S036UG,UFG/S036,F
S052BG,UFG/S052,F
S002WE,WER/S002,F
S004WE,WER/S004,F
S012WE,WER/S012,F
S014WE,WER/S014,F
S016WE,WER/S016,F
S022WE,WER/S022WE,F
S026WE,WER/S026WE,F
S028WE,WER/S028,F
S030WE,WER/S030WE,F
S073WM,WIL/S073,F
S075WM,WIL/S075,F
C158IA,WST/C158,F
C206WA,WST/C206,F
C422WA,WST/C422,F
S192WA,WST/S192,F
S286WA,WST/S286,F
S701WT,WTO/S701,F
S710WT,WTO/S710,F
S297YE,YVE/S297,F
S302YE,YVE/S302,F
S164F0,SYR/S164F0,T
B008MD,MCD/B008,F
B019GN,GRN/B019,F
B023GN,GRN/B023,F
B025EP,EPP/B025,F
B027EP,EPP/B027,F
B144HD,HDB/B144,F
B810SR,SHM/B810,F
B965IB,FSB/B965,F
T123EP,EPP/T123,F
T236BY,BLY/T236,F
T879IB,FSE/T879,F
T934IB,FSB/T934,F
T980IB,FSE/T980,F
S119CH,CHL/S119,F
S132CH,CHL/S132,F
S518ST,SST/S518,F
S516ST,SST/S516,F
S955IB,FSB/S955IB,F
S506IA,FSB/S506,F
S511ST,SST/S511,F
S513ST,SST/S513,F
S512ST,SST/S512,F
S514ST,SST/S514,F
S000LN,LWA/S000,F
S517ST,SST/S517,F
B110MD,MCD/B110,F
S113CH,CHL/S113,F
S118CH,CHL/S118,F
B012GN,GRN/B012,F
B013GN,GRN/B013,F
S149IA,FSA/S149,F
S504UF,UFD/S504,F
S112IA,FSA/S112,F
S546IA,FKS/S546,F
S728IB,SSS/S728,F
S673IB,FSE/S673,F
S580NE,NME/S580,F
S582NE,NME/S582,F
S011MT,MOR/S011,F
S018FN,FKN/S018,F
S020UG,UFG/S020,F
S024WE,WER/S024,F
S048NP,NPT/S048,F
S064NP,NPT/S064,F
S101KP,KPK/S101,F
S158IA,FSD/S158,F
S232IA,FSA/S232,F
S273IA,FSE/S273,F
S421RV,RES/S421RV,F
S440RV,REG/S440RV,F
S485NE,NME/S485,F
S565IA,FKS/S565,F
S752IB,SSS/S752,F
S768IB,FSE/S768,F
S900IA,FSA/S900,F
S918SR,SHM/S918,F
S920SR,SHM/S920,F
S933IB,FSB/S933,F
S990IB,FSE/S990,F
B037IA,FSA/B037,F
B107MD,MCD/B107,F
B109MD,MCD/B109,F
B111MD,MCD/B111,F
B404UF,UFD/B404,F
B436IA,MUL/B436,F
C120IA,FSA/C120,F
C185IA,FSD/C185,F
C469IA,NMU/C469,F
C483NE,NME/C483,F
C485NE,NME/C485,F
C534NE,NME/C534,F
C985IB,NME/C985,F
T943IB,FSB/T943,F
